date,price,percentChange,CPI,Total Library Visitors,Total Program Attendees,Total eMedia Circulation,Total Cardholders,Total Computer Usage (Wireless + PC Sessions),New Cardholders,Turizm Gideri,Vatandaþ Ziyaretci Sayisi,Kisi Basý Ortalama Harcama
2014-07 ,98.17,-6.833064439593812,240.154,1255102,50786,231678,1148250,527395,17703,   426 458,   825 446,517
2014-08 ,95.96,-2.2511969033309565,240.692,1306062,25969,205864,1163551,503974,18703,   415 994,   816 672,509
2014-09 ,91.16,-5.00208420175073,241.328,1327264,26515,204958,1172464,492485,19913,   335 718,   641 160,524
2014-10 ,80.54,-11.649846423870118,241.620,1376021,35116,219664,1180699,496293,18235,   587 942,   719 336,817
2014-11 ,66.15,-17.86689843555997,241.912,1035787,25910,292080,1182562,414850,13698,   456 716,   594 189,769
2014-12 ,53.27,-19.47089947089947,242.893,1082258,21346,309385,1184005,430188,11603,   479 100,   615 090,779
2015-01 ,48.24,-9.44246292472311,242.553,1141020,24212,337842,1185678,462601,16080,   410 781,   605 946,678
2015-02 ,49.76,3.1509121061359866,242.598,1035720,29201,306108,1191272,441734,14044,   430 687,   616 510,699
2015-03 ,47.6,-4.340836012861736,241.633,1099929,31153,349838,1224423,450388,14978,   441 036,   642 603,686
2015-04 ,59.63,25.27310924369748,241.106,1166760,29949,328774,1236890,459271,15462,   478 943,   765 692,626
2015-05 ,60.3,1.1235955056179776,241.107,1083161,25936,343252,1250907,423752,14158,   554 879,   882 159,629
2015-06 ,59.47,-1.3764510779436152,241.922,1184421,45717,352224,1266006,472468,16142,   509 009,   814 659,625
2015-07 ,47.12,-20.766773162939298,242.250,1179630,42673,379977,1281265,472078,15859,   496 650,   949 715,523
2015-08 ,49.2,4.4142614601018675,242.864,1177771,26028,376456,1297414,479754,16462,   445 146,   872 220,510
2015-09 ,45.09,-8.353658536585366,243.198,1204247,26614,371462,1314846,451654,17982,   402 834,   749 875,537
2015-10 ,46.59,3.32667997338656,243.284,1169763,33151,361763,1329482,441228,15196,   551 716,   678 682,813
2015-11 ,41.65,-10.603133719682335,242.606,943559,23469,366114,1341470,366963,12136,   481 026,   605 397,795
2015-12 ,37.04,-11.06842737094838,241.880,993983,22934,382196,1347381,384675,10294,   495 714,   567 393,874
2016-01 ,33.62,-9.233261339092872,241.558,992391,20755,415743,1361149,387181,14234,   480 979,   557 683,862
2016-02 ,33.75,0.3866745984533016,241.741,1025544,25577,399535,1375130,413651,19098,   531 418,   626 101,849
2016-03 ,38.34,13.6,240.414,1126549,33701,445786,1380893,393667,15117,   525 231,   641 403,819
2016-04 ,45.92,19.770474700052166,240.341,1155922,29835,443002,1394094,392166,15026,   475 095,   631 516,752
2016-05 ,49.1,6.925087108013937,239.348,1220757,26483,436345,1406908,412157,13656,   555 083,   752 060,738
2016-06 ,48.33,-1.5682281059063137,238.763,1314436,52640,446538,1411764,386226,15863,   479 515,   652 242,735
2016-07 ,41.6,-13.925098282640182,238.380,1285325,54384,430472,1426288,436235,14586,   436 761,   880 228,496
2016-08 ,44.7,7.451923076923077,238.133,1206452,33857,487954,1443532,390686,16900,   327 618,   647 281,506
2016-09 ,48.24,7.919463087248322,237.880,1099435,32100,455270,1484723,406122,16005,   367 395,   707 264,519
2016-10 ,46.86,-2.8606965174129355,237.714,1210136,30822,447833,1473925,371537,13533,   313 330,   648 563,483
2016-11 ,49.44,5.505761843790013,237.438,1063352,26372,422141,1474538,365253,10421,   271 935,   566 005,480
2016-12 ,53.72,8.656957928802589,237.147,1186931,27352,476155,1465659,365253,12335,   285 435,   581 562,491
2017-01 ,52.81,-1.693968726731199,237.072,986889,25131,495671,1468789,383229,16114,   275 182,   611 420,450
2017-02 ,54.01,2.272296913463359,237.824,993110,26497,459407,1466057,366573,15405,   277 405,   608 313,456
2017-03 ,50.6,-6.313645621181263,238.387,1067972,33673,483929,1555575,405524,109525,   303 199,   677 821,447
2017-04 ,49.21,-2.7470355731225298,238.568,1078382,38029,514490,1568843,386799,20886,   428 918,   702 741,610
2017-05 ,48.32,-1.8085754927860191,238.893,999498,34005,515243,1653089,395222,90952,   499 284,   812 614,614
2017-06 ,46.04,-4.718543046357616,238.494,1012800,53537,535452,1665288,399860,19838,   458 159,   779 234,588
2017-07 ,50.17,8.970460469157254,238.904,978743,49631,535013,1680272,370396,20288,   557 481,   919 606,606
2017-08 ,47.23,-5.860075742475583,238.804,1070915,46167,551025,1694107,390245,21786,   505 853,   837 828,604
2017-09 ,51.67,9.400804573364388,238.852,941932,18949,531108,1702608,325863,17396,   497 423,   756 884,657
2017-10 ,54.38,5.244822914650667,239.020,1033611,30659,533720,1808894,381651,110297,   462 570,   759 030,609
2017-11 ,57.4,5.553512320706142,238.940,831977,27087,503865,1818888,356213,13164,   417 340,   683 622,610
2017-12 ,60.42,5.2613240418118465,239.371,820955,18718,526304,1894362,313325,78817,   454 430,   737 805,616
2018-01 ,64.73,7.133399536577293,239.641,925313,27320,559636,1907549,327412,18716,   363 224,   704 387,516
2018-02 ,61.64,-4.773675266491581,239.160,870672,33108,503099,2076748,301826,173695,   342 819,   660 895,519
2018-03 ,64.94,5.353666450356911,239.230,949573,35950,554851,2089536,335788,17066,   372 965,   705 252,529
2018-04 ,68.57,5.589775177086541,239.798,932602,36868,554793,2101154,332737,16400,   561 600,   728 986,770
2018-05 ,67.04,-2.2312964853434445,239.148,907225,33281,573325,2110853,336578,17646,   519 870,   690 243,753
2018-06 ,74.15,10.605608591885442,239.239,935459,46820,562126,2120032,341335,17962,   568 806,   774 829,734
2018-07 ,68.76,-7.269049224544841,239.693,963420,45043,598168,2130223,343421,21532,   428 969,   816 997,525
2018-08 ,699.977,1.8000290866783013,239.941,997050,28238,628251,2144258,371971,23107,   422 959,   807 504,524
2018-09 ,735.992,5.145169055554683,239.935,874633,23017,618091,2154695,371785,19887,   357 452,   641 295,557
2018-10 ,65.31,-11.262622419808912,239.404,870837,31908,630698,2180190,338612,34659,   328 383,   634 078,518
2018-11 ,50.93,-22.018067677231663,239.990,692835,21319,627562,2245254,273341,71021,   302 119,   592 426,510
2018-12 ,45.41,-10.838405654820342,240.786,743549,20192,669298,2258066,277647,18077,   327 145,   626 541,522
2019-01 ,53.79,18.454085003303238,241.320,831606,24607,721094,2278587,302299,28541,   346 164,   656 475,527
2019-02 ,57.22,6.376649934932144,242.077,786084,26594,650683,2290714,252540,18740,   335 060,   644 196,520
2019-03 ,60.14,5.103110800419434,242.603,851388,30966,704679,2301086,276290,18811,   385 483,   717 246,537
2019-04 ,63.91,6.268706351845694,241.484,851992,27601,686967,2315085,267845,17156,   336 498,   752 280,447
2019-05 ,53.5,-16.28853074636207,241.969,862090,28910,755275,2325158,252011,14790,   319 832,   725 576,441
2019-06 ,594.601,11.140373831775701,241.371,888586,41425,710762,2338648,256882,16043,   426 213,   966 812,441
